名称	道具种类	具体类别	详细类别	动画文件名	对应物件索引	宽度	高度	说明文字	五行属性	价格	等级	是否叠放	基础属性1类型	基础属性1最小值	基础属性1最大值	基础属性2类型	基础属性2最小值	基础属性2最大值	基础属性3类型	基础属性3最小值	基础属性3最大值	基础属性4类型	基础属性4最小值	基础属性4最大值	基础属性5类型	基础属性5最小值	基础属性5最大值	基础属性6类型	基础属性6最小值	基础属性6最大值	基础属性7类型	基础属性7最小值	基础属性7最大值	需求属性1类型	需求属性1数值	需求属性2类型	需求属性2数值	需求属性3类型	需求属性3数值	需求属性4类型	需求属性4数值	需求属性5类型	需求属性5数值	需求属性6类型	需求属性6数值	魔法属性索引1(0级)	魔法属性索引1(10级)	魔法属性索引2(0级)	魔法属性索引2(10级)	魔法属性索引3(0级)	魔法属性索引3(10级)	魔法属性索引4(0级)	魔法属性索引4(10级)	魔法属性索引5(0级)	魔法属性索引5(10级)	魔法属性索引6(0级)	魔法属性索引6(10级)	所在套装	6级技能ID	10级技能ID	扩展套装	扩展套装序号	扩展套装隐藏属性1	扩展套装隐藏属性2	可熔炼属性数量	可熔炼纹钢品质	基础兵甲值	是否可升星装备	可镶嵌星辰石数量	装备突破祝福值	注灵位置数量	显示图标ID
[玄金]星霜之彩韵珠链	0	4	0	\spr\item\equip\nick\obj-neck34.spr	36	2	1	玄金装备，星霜级翠烟双刀套装第一件	0	99999	10	0																						36	120	39	5									963	964	940	941	980	981	1183	1184	1003	1004	1305	1306	527			502	1	1656	1281	3	10	9600					
[玄金]星霜之彩韵簪	0	7	9	\spr\item\equip\cap\obj-ma-cap79.spr	28	2	2	玄金装备，星霜级翠烟双刀套装第二件	2	99999	10	0	30	360	360	31	85	85																36	120	39	5									964	965	860	861	981	982	1023	1024	1340	1341	3546	3547	527			502	2	3556	1281	3	10	9600					
[玄金]星霜之彩韵玲珑指环	0	3	0	\spr\item\equip\ring\obj-ring34.spr	37	1	1	玄金装备，星霜级翠烟双刀套装第三件	1	99999	10	0																						36	120	39	5									963	964	900	901	980	981	1203	1204	1340	1341	1305	1306	527			502	3	130		3	10	9600					
[玄金]星霜之彩韵生花手镯	0	8	0	\Spr\item\equip\bangle\obj-bangle39.spr	35	1	2	玄金装备，星霜级翠烟双刀套装第四件	3	99999	10	0	30	135	135	31	80	80																36	120	39	5									964	965	880	881	981	982	1023	1024	1340	1341	1305	1306	527			502	4	1657	1281	3	10	9600					
[玄金]星霜之彩韵丝带	0	6	0	\spr\item\equip\sash\obj-sash78.spr	33	2	1	玄金装备，星霜级翠烟双刀套装第五件	4	99999	10	0	30	160	160	31	80	80																36	120	39	5									964	965	920	921	980	981	1223	1224	1340	1341	1305	1306	527			502	5	1433	1412	3	10	9600					
[玄金]星霜之彩韵彩蝶衣	0	2	9	\spr\item\equip\armor\obj-ma-cloth79.spr	24	2	3	玄金装备，星霜级翠烟双刀套装第六件	0	99999	10	0	30	720	720	31	90	90																36	120	39	5									964	965	940	941	980	981	1183	1184	2725	2725	3546	3547	527			502	6	1433	2828	3	10	9600					
[玄金]星霜之彩韵鸳鸯刀	0	0	5	\spr\item\equip\closeweapon\obj-adsd26.spr	14	2	3	玄金装备，星霜级翠烟双刀套装第七件	2	99999	10	0	28	62	62	29	92	92	167	-30	-30	31	99	99										36	120	39	5									2720	2720	860	861	1123	1124	1023	1024	1344	1345	3546	3547	527			502	7	1433	130	3	10	9600					
[玄金]星霜之彩韵靴	0	5	3	\spr\item\equip\boots\obj-shoes79.spr	27	2	2	玄金装备，星霜级翠烟双刀套装第八件	1	99999	10	0	30	160	160	31	80	80																36	120	39	5									964	965	900	901	980	981	1203	1204	1263	1264	1305	1306	527			502	8	1433	1281	3	10	9600					
[玄金]星霜之彩韵香囊	0	9	0	\spr\item\equip\waist\obj-waist35.spr	36	1	2	玄金装备，星霜级翠烟双刀套装第九件	3	99999	10	0																						36	120	39	5									963	964	880	881	981	982	1023	1024	1340	1341	1305	1306	527			502	9	1658	3556	3	10	9600					
[玄金]星霜之彩韵珊瑚指环	0	3	0	\spr\item\equip\ring\obj-ring34.spr	37	1	1	玄金装备，星霜级翠烟双刀套装第十件	4	99999	10	0																						36	120	39	5									963	964	920	921	981	982	1223	1224	1340	1341	1305	1306	527			502	10	130		3	10	9600					
[玄金]星霜之蟾飞项链	0	4	1	\spr\item\equip\nick\obj-neck33.spr	36	2	1	玄金装备，星霜级五毒掌法套装第一件	0	99999	10	0																						36	120	39	3									963	964	940	941	980	981	1183	1184	1003	1004	1305	1306	528			503	1	1660	1281	3	10	9600					
[玄金]星霜之蟾飞发带	0	7	2	\spr\item\equip\cap\obj-ma-cap80.spr	28	2	2	玄金装备，星霜级五毒掌法套装第二件	2	99999	10	0	30	360	360	31	85	85																36	120	39	3									964	965	860	861	981	982	1023	1024	1340	1341	3536	3537	528			503	2	3556	2829	3	10	9600					
[玄金]星霜之蟾飞血滴指环	0	3	0	\spr\item\equip\ring\obj-ring33.spr	37	1	1	玄金装备，星霜级五毒掌法套装第三件	1	99999	10	0																						36	120	39	3									963	964	900	901	980	981	1203	1204	1340	1341	1305	1306	528			503	3	130		3	10	9600					
[玄金]星霜之蟾飞护腕	0	8	1	\Spr\item\equip\bangle\obj-bangle38.spr	34	1	2	玄金装备，星霜级五毒掌法套装第四件	3	99999	10	0	30	135	135	31	80	80																36	120	39	3									964	965	880	881	981	982	1023	1024	1340	1341	1305	1306	528			503	4	1433	1281	3	10	9600					
[玄金]星霜之蟾飞腰带	0	6	1	\spr\item\equip\sash\obj-sash77.spr	32	2	1	玄金装备，星霜级五毒掌法套装第五件	4	99999	10	0	30	160	160	31	80	80																36	120	39	3									964	965	920	921	980	981	1223	1224	1340	1341	1305	1306	528			503	5	1661	1281	3	10	9600					
[玄金]星霜之蟾飞蛊衣	0	2	2	\spr\item\equip\armor\obj-ma-cloth80.spr	22	2	3	玄金装备，星霜级五毒掌法套装第六件	0	99999	10	0	30	720	720	31	90	90																36	120	39	3									964	965	940	941	980	981	1183	1184	2725	2725	3536	3537	528			503	6	1433	1413	3	10	9600					
[玄金]星霜之蟾飞缠手	0	0	6	\spr\item\equip\closeweapon\obj-glove12.spr	9	1	2	玄金装备，星霜级五毒掌法套装第七件	2	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	120	39	3									2719	2719	860	861	1103	1104	1023	1024	1344	1345	3536	3537	528			503	7	1433	130	3	10	9600					
[玄金]星霜之蟾飞靴	0	5	1	\spr\item\equip\boots\obj-shoes80.spr	26	2	2	玄金装备，星霜级五毒掌法套装第八件	1	99999	10	0	30	160	160	31	80	80																36	120	39	3									964	965	900	901	980	981	1203	1204	1263	1264	1305	1306	528			503	8	1433	1281	3	10	9600					
[玄金]星霜之蟾飞腰坠	0	9	1	\spr\item\equip\waist\obj-waist34.spr	36	1	2	玄金装备，星霜级五毒掌法套装第九件	3	99999	10	0																						36	120	39	3									963	964	880	881	981	982	1023	1024	1340	1341	1305	1306	528			503	9	1662	3556	3	10	9600					
[玄金]星霜之蟾飞骷髅指环	0	3	0	\spr\item\equip\ring\obj-ring34.spr	37	1	1	玄金装备，星霜级五毒掌法套装第十件	4	99999	10	0																						36	120	39	3									963	964	920	921	981	982	1223	1224	1340	1341	1305	1306	528			503	10	130		3	10	9600					
[玄金]星霜之附骨项链	0	4	1	\spr\item\equip\nick\obj-neck33.spr	36	2	1	玄金装备，星霜级五毒刀法套装第一件	0	99999	10	0																						36	120	39	3									963	964	940	941	980	981	1183	1184	1003	1004	1305	1306	529			504	1	1664	1281	3	10	9600					
[玄金]星霜之附骨发带	0	7	2	\spr\item\equip\cap\obj-ma-cap80.spr	28	2	2	玄金装备，星霜级五毒刀法套装第二件	2	99999	10	0	30	360	360	31	85	85																36	120	39	3									964	965	860	861	981	982	1023	1024	1340	1341	3536	3537	529			504	2	3556	2830	3	10	9600					
[玄金]星霜之附骨玄阴戒	0	3	0	\spr\item\equip\ring\obj-ring33.spr	37	1	1	玄金装备，星霜级五毒刀法套装第三件	1	99999	10	0																						36	120	39	3									963	964	900	901	980	981	1203	1204	1340	1341	1305	1306	529			504	3	130		3	10	9600					
[玄金]星霜之附骨护腕	0	8	1	\Spr\item\equip\bangle\obj-bangle38.spr	34	1	2	玄金装备，星霜级五毒刀法套装第四件	3	99999	10	0	30	135	135	31	80	80																36	120	39	3									964	965	880	881	981	982	1023	1024	1340	1341	1305	1306	529			504	4	1433	1281	3	10	9600					
[玄金]星霜之附骨腰带	0	6	1	\spr\item\equip\sash\obj-sash77.spr	33	2	1	玄金装备，星霜级五毒刀法套装第五件	4	99999	10	0	30	160	160	31	80	80																36	120	39	3									964	965	920	921	980	981	1223	1224	1340	1341	1305	1306	529			504	5	1665	1281	3	10	9600					
[玄金]星霜之附骨护甲	0	2	2	\spr\item\equip\armor\obj-ma-cloth80.spr	22	2	3	玄金装备，星霜级五毒刀法套装第六件	0	99999	10	0	30	720	720	31	90	90																36	120	39	3									964	965	940	941	980	981	1183	1184	2725	2725	3536	3537	529			504	6	1433	1414	3	10	9600					
[玄金]星霜之附骨血刃	0	0	1	\spr\item\equip\closeweapon\obj-blade37.spr	10	1	4	玄金装备，星霜级五毒刀法套装第七件	2	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	120	39	3									2714	2714	860	861	1083	1084	1023	1024	1325	1326	3536	3537	529			504	7	1433	130	3	10	9600					
[玄金]星霜之附骨靴	0	5	1	\spr\item\equip\boots\obj-shoes80.spr	26	2	2	玄金装备，星霜级五毒刀法套装第八件	1	99999	10	0	30	160	160	31	80	80																36	120	39	3									964	965	900	901	980	981	1203	1204	1263	1264	1305	1306	529			504	8	1433	1281	3	10	9600					
[玄金]星霜之附骨腰坠	0	9	1	\spr\item\equip\waist\obj-waist34.spr	36	1	2	玄金装备，星霜级五毒刀法套装第九件	3	99999	10	0																						36	120	39	3									963	964	880	881	981	982	1023	1024	1340	1341	1305	1306	529			504	9	1666	3556	3	10	9600					
[玄金]星霜之附骨玄幽戒	0	3	0	\spr\item\equip\ring\obj-ring34.spr	37	1	1	玄金装备，星霜级五毒刀法套装第十件	4	99999	10	0																						36	120	39	3									963	964	920	921	981	982	1223	1224	1340	1341	1305	1306	529			504	10	130		3	10	9600					
[玄金]星霜之冷血项链	0	4	1	\spr\item\equip\nick\obj-neck33.spr	36	2	1	玄金装备，星霜级唐门飞刀套装第一件	4	99999	10	0																						36	120	39	2									963	964	940	941	980	981	1183	1184	1003	1004	1305	1306	530			505	1	1668	1281	3	10	9600					
[玄金]星霜之冷血冠	0	7	2	\spr\item\equip\cap\obj-ma-cap81.spr	28	2	2	玄金装备，星霜级唐门飞刀套装第二件	0	99999	10	0	30	360	360	31	85	85																36	120	39	2									964	965	860	861	981	982	1023	1024	1340	1341	3541	3542	530			505	2	3556	2831	3	10	9600					
[玄金]星霜之冷血飞花指环	0	3	0	\spr\item\equip\ring\obj-ring33.spr	37	1	1	玄金装备，星霜级唐门飞刀套装第三件	2	99999	10	0																						36	120	39	2									963	964	900	901	980	981	1203	1204	1340	1341	1305	1306	530			505	3	130		3	10	9600					
[玄金]星霜之冷血护腕	0	8	1	\Spr\item\equip\bangle\obj-bangle38.spr	34	1	2	玄金装备，星霜级唐门飞刀套装第四件	1	99999	10	0	30	135	135	31	80	80																36	120	39	2									964	965	880	881	981	982	1023	1024	1340	1341	1305	1306	530			505	4	1433	1281	3	10	9600					
[玄金]星霜之冷血缠腰	0	6	0	\spr\item\equip\sash\obj-sash77.spr	32	2	1	玄金装备，星霜级唐门飞刀套装第五件	3	99999	10	0	30	160	160	31	80	80																36	120	39	2									964	965	920	921	980	981	1223	1224	1340	1341	1305	1306	530			505	5	1669	1281	3	10	9600					
[玄金]星霜之冷血甲	0	2	3	\spr\item\equip\armor\obj-ma-cloth81.spr	22	2	3	玄金装备，星霜级唐门飞刀套装第六件	4	99999	10	0	30	720	720	31	90	90																36	120	39	2									964	965	940	941	980	981	1183	1184	2725	2725	3541	3542	530			505	6	1433	1415	3	10	9600					
[玄金]星霜之冷血飞刀	0	1	1	\spr\item\equip\rangeweapon\obj-adart33.spr	15	1	1	玄金装备，星霜级唐门飞刀套装第七件	0	99999	10	0	28	44	44	29	100	100	167	-30	-30	31	99	99										36	120	39	2									2717	2717	860	861	1083	1084	1023	1024	1340	1341	3541	3542	530			505	7	1433	130	3	10	9600					
[玄金]星霜之冷血履	0	5	1	\spr\item\equip\boots\obj-shoes81.spr	26	2	2	玄金装备，星霜级唐门飞刀套装第八件	2	99999	10	0	30	160	160	31	80	80																36	120	39	2									964	965	900	901	980	981	1203	1204	1263	1264	1305	1306	530			505	8	1433	1281	3	10	9600					
[玄金]星霜之冷血佩	0	9	1	\spr\item\equip\waist\obj-waist34.spr	36	1	2	玄金装备，星霜级唐门飞刀套装第九件	1	99999	10	0																						36	120	39	2									963	964	880	881	981	982	1023	1024	1340	1341	1305	1306	530			505	9	1670	3556	3	10	9600					
[玄金]星霜之冷血摘叶指环	0	3	0	\spr\item\equip\ring\obj-ring34.spr	37	1	1	玄金装备，星霜级唐门飞刀套装第十件	3	99999	10	0																						36	120	39	2									963	964	920	921	981	982	1223	1224	1340	1341	1305	1306	530			505	10	130		3	10	9600					
[玄金]星霜之怒莲项链	0	4	1	\spr\item\equip\nick\obj-neck33.spr	36	2	1	玄金装备，星霜级唐门弩箭套装第一件	4	99999	10	0																						36	120	39	2									963	964	940	941	980	981	1183	1184	1003	1004	1305	1306	531			506	1	1668	1281	3	10	9600					
[玄金]星霜之怒莲冠	0	7	2	\spr\item\equip\cap\obj-ma-cap81.spr	28	2	2	玄金装备，星霜级唐门弩箭套装第二件	0	99999	10	0	30	360	360	31	85	85																36	120	39	2									964	965	860	861	981	982	1023	1024	1340	1341	3541	3542	531			506	2	3556	1281	3	10	9600					
[玄金]星霜之怒莲灵蛇指环	0	3	0	\spr\item\equip\ring\obj-ring33.spr	37	1	1	玄金装备，星霜级唐门弩箭套装第三件	2	99999	10	0																						36	120	39	2									963	964	900	901	980	981	1203	1204	1340	1341	1305	1306	531			506	3	130		3	10	9600					
[玄金]星霜之怒莲护腕	0	8	1	\Spr\item\equip\bangle\obj-bangle38.spr	34	1	2	玄金装备，星霜级唐门弩箭套装第四件	1	99999	10	0	30	135	135	31	80	80																36	120	39	2									964	965	880	881	981	982	1023	1024	1340	1341	1305	1306	531			506	4	1433	1281	3	10	9600					
[玄金]星霜之怒莲束腰	0	6	0	\spr\item\equip\sash\obj-sash77.spr	32	2	1	玄金装备，星霜级唐门弩箭套装第五件	3	99999	10	0	30	160	160	31	80	80																36	120	39	2									964	965	920	921	980	981	1223	1224	1340	1341	1305	1306	531			506	5	1669	1281	3	10	9600					
[玄金]星霜之怒莲甲衣	0	2	3	\spr\item\equip\armor\obj-ma-cloth81.spr	22	2	3	玄金装备，星霜级唐门弩箭套装第六件	4	99999	10	0	30	720	720	31	90	90																36	120	39	2									964	965	940	941	980	981	1183	1184	2725	2725	3541	3542	531			506	6	1433	2832	3	10	9600					
[玄金]星霜之怒莲袖箭	0	1	2	\spr\item\equip\rangeweapon\obj-adart34.spr	17	2	2	玄金装备，星霜级唐门弩箭套装第七件	0	99999	10	0	28	46	46	29	102	102	167	-30	-30	31	99	99										36	120	39	2									2717	2717	860	861	1083	1084	1023	1024	1340	1341	3541	3542	531			506	7	1433	130	3	10	9600					
[玄金]星霜之怒莲履	0	5	1	\spr\item\equip\boots\obj-shoes81.spr	26	2	2	玄金装备，星霜级唐门弩箭套装第八件	2	99999	10	0	30	160	160	31	80	80																36	120	39	2									964	965	900	901	980	981	1203	1204	1263	1264	1305	1306	531			506	8	1433	1416	3	10	9600					
[玄金]星霜之怒莲腰坠	0	9	1	\spr\item\equip\waist\obj-waist34.spr	36	1	2	玄金装备，星霜级唐门弩箭套装第九件	1	99999	10	0																						36	120	39	2									963	964	880	881	981	982	1023	1024	1340	1341	1305	1306	531			506	9	1672	3556	3	10	9600					
[玄金]星霜之怒莲金蟾指环	0	3	0	\spr\item\equip\ring\obj-ring34.spr	37	1	1	玄金装备，星霜级唐门弩箭套装第十件	3	99999	10	0																						36	120	39	2									963	964	920	921	981	982	1223	1224	1340	1341	1305	1306	531			506	10	130		3	10	9600					
[玄金]星霜之追命项链	0	4	1	\spr\item\equip\nick\obj-neck33.spr	36	2	1	玄金装备，星霜级唐门飞镖套装第一件	4	99999	10	0																						36	120	39	2									963	964	940	941	980	981	1183	1184	1003	1004	1305	1306	532			507	1	1668	1281	3	10	9600					
[玄金]星霜之追命发冠	0	7	2	\spr\item\equip\cap\obj-ma-cap81.spr	28	2	2	玄金装备，星霜级唐门飞镖套装第二件	0	99999	10	0	30	360	360	31	85	85																36	120	39	2									964	965	860	861	981	982	1023	1024	1340	1341	3541	3542	532			507	2	3556	1281	3	10	9600					
[玄金]星霜之追命摄魄指环	0	3	0	\spr\item\equip\ring\obj-ring33.spr	37	1	1	玄金装备，星霜级唐门飞镖套装第三件	2	99999	10	0																						36	120	39	2									963	964	900	901	980	981	1203	1204	1340	1341	1305	1306	532			507	3	130		3	10	9600					
[玄金]星霜之追命护腕	0	8	1	\Spr\item\equip\bangle\obj-bangle38.spr	34	1	2	玄金装备，星霜级唐门飞镖套装第四件	1	99999	10	0	30	135	135	31	80	80																36	120	39	2									964	965	880	881	981	982	1023	1024	1340	1341	1305	1306	532			507	4	1433	1281	3	10	9600					
[玄金]星霜之追命束腰	0	6	0	\spr\item\equip\sash\obj-sash77.spr	32	2	1	玄金装备，星霜级唐门飞镖套装第五件	3	99999	10	0	30	160	160	31	80	80																36	120	39	2									964	965	920	921	980	981	1223	1224	1340	1341	1305	1306	532			507	5	1669	1281	3	10	9600					
[玄金]星霜之追命甲衣	0	2	3	\spr\item\equip\armor\obj-ma-cloth81.spr	22	2	3	玄金装备，星霜级唐门飞镖套装第六件	4	99999	10	0	30	720	720	31	90	90																36	120	39	2									964	965	940	941	980	981	1183	1184	2725	2725	3541	3542	532			507	6	1433	2833	3	10	9600					
[玄金]星霜之追命飞镖	0	1	0	\spr\item\equip\rangeweapon\obj-adart35.spr	15	1	1	玄金装备，星霜级唐门飞镖套装第七件	0	99999	10	0	28	42	42	29	98	98	167	-30	-30	31	99	99										36	120	39	2									2717	2717	860	861	1083	1084	1023	1024	1340	1341	3541	3542	532			507	7	1433	130	3	10	9600					
[玄金]星霜之追命履	0	5	1	\spr\item\equip\boots\obj-shoes81.spr	26	2	2	玄金装备，星霜级唐门飞镖套装第八件	2	99999	10	0	30	160	160	31	80	80																36	120	39	2									964	965	900	901	980	981	1203	1204	1263	1264	1305	1306	532			507	8	1433	1417	3	10	9600					
[玄金]星霜之追命腰坠	0	9	1	\spr\item\equip\waist\obj-waist34.spr	34	1	2	玄金装备，星霜级唐门飞镖套装第九件	1	99999	10	0																						36	120	39	2									963	964	880	881	981	982	1023	1024	1340	1341	1305	1306	532			507	9	1674	3556	3	10	9600					
[玄金]星霜之追命夺魂指环	0	3	0	\spr\item\equip\ring\obj-ring34.spr	37	1	1	玄金装备，星霜级唐门飞镖套装第十件	3	99999	10	0																						36	120	39	2									963	964	920	921	981	982	1223	1224	1340	1341	1305	1306	532			507	10	130		3	10	9600					
[玄金]星霜之勐龙项链	0	4	1	\spr\item\equip\nick\obj-neck35.spr	36	2	1	玄金装备，星霜级丐帮掌法套装第一件	1	99999	10	0																						36	120	39	6									963	964	940	941	980	981	1183	1184	1003	1004	1305	1306	533			508	1	1676	1281	3	10	9600					
[玄金]星霜之勐龙头环	0	7	5	\spr\item\equip\cap\obj-ma-cap82.spr	28	2	2	玄金装备，星霜级丐帮掌法套装第二件	3	99999	10	0	30	360	360	31	85	85																36	120	39	6									964	965	860	861	981	982	1023	1024	1340	1341	3551	3552	533			508	2	3556	1281	3	10	9600					
[玄金]星霜之勐龙万丈指环	0	3	0	\spr\item\equip\ring\obj-ring35.spr	37	1	1	玄金装备，星霜级丐帮掌法套装第三件	4	99999	10	0																						36	120	39	6									963	964	900	901	980	981	1203	1204	1340	1341	1305	1306	533			508	3	130		3	10	9600					
[玄金]星霜之勐龙护腕	0	8	1	\Spr\item\equip\bangle\obj-bangle41.spr	34	1	2	玄金装备，星霜级丐帮掌法套装第四件	0	99999	10	0	30	135	135	31	80	80																36	120	39	6									964	965	880	881	981	982	1023	1024	1340	1341	1305	1306	533			508	4	1433	1281	3	10	9600					
[玄金]星霜之勐龙束腰	0	6	0	\spr\item\equip\sash\obj-sash79.spr	32	2	1	玄金装备，星霜级丐帮掌法套装第五件	2	99999	10	0	30	160	160	31	80	80																36	120	39	6									964	965	920	921	980	981	1223	1224	1340	1341	1305	1306	533			508	5	1677	1281	3	10	9600					
[玄金]星霜之勐龙丐衣	0	2	5	\spr\item\equip\armor\obj-ma-cloth82.spr	22	2	3	玄金装备，星霜级丐帮掌法套装第六件	1	99999	10	0	30	720	720	31	90	90																36	120	39	6									964	965	940	941	980	981	1183	1184	2725	2725	3551	3552	533			508	6	1433	2834	3	10	9600					
[玄金]星霜之勐龙缠手	0	0	6	\spr\item\equip\closeweapon\obj-glove09.spr	9	1	2	玄金装备，星霜级丐帮掌法套装第七件	3	99999	10	0	28	40	40	29	100	100	167	-30	-30	31	99	99										36	120	39	6									2720	2720	860	861	1143	1144	1023	1024	1344	1345	3551	3552	533			508	7	1433	130	3	10	9600					
[玄金]星霜之勐龙靴	0	5	0	\spr\item\equip\boots\obj-shoes82.spr	26	2	2	玄金装备，星霜级丐帮掌法套装第八件	4	99999	10	0	30	160	160	31	80	80																36	120	39	6									964	965	900	901	980	981	1203	1204	1263	1264	1305	1306	533			508	8	1678	3556	3	10	9600					
[玄金]星霜之勐龙腰坠	0	9	1	\spr\item\equip\waist\obj-waist36.spr	36	1	2	玄金装备，星霜级丐帮掌法套装第九件	0	99999	10	0																						36	120	39	6									963	964	880	881	981	982	1023	1024	1340	1341	1305	1306	533			508	9	1433	1418	3	10	9600					
[玄金]星霜之勐龙千里指环	0	3	0	\spr\item\equip\ring\obj-ring35.spr	37	1	1	玄金装备，星霜级丐帮掌法套装第十件	2	99999	10	0																						36	120	39	6									963	964	920	921	981	982	1223	1224	1340	1341	1305	1306	533			508	10	130		3	10	9600					
[玄金]星霜之破虏项链	0	4	1	\spr\item\equip\nick\obj-neck35.spr	36	2	1	玄金装备，星霜级丐帮棍法套装第一件	0	99999	10	0																						36	120	39	6									963	964	940	941	980	981	1183	1184	1003	1004	1305	1306	534			509	1	1680	1281	3	10	9600					
[玄金]星霜之破虏头环	0	7	5	\spr\item\equip\cap\obj-ma-cap82.spr	28	2	2	玄金装备，星霜级丐帮棍法套装第二件	2	99999	10	0	30	360	360	31	85	85																36	120	39	6									964	965	860	861	981	982	1023	1024	1340	1341	3551	3552	534			509	2	3556	1281	3	10	9600					
[玄金]星霜之破虏六龙扳指	0	3	0	\spr\item\equip\ring\obj-ring35.spr	37	1	1	玄金装备，星霜级丐帮棍法套装第三件	1	99999	10	0																						36	120	39	6									963	964	900	901	980	981	1203	1204	1340	1341	1305	1306	534			509	3	130		3	10	9600					
[玄金]星霜之破虏护腕	0	8	1	\Spr\item\equip\bangle\obj-bangle41.spr	34	1	2	玄金装备，星霜级丐帮棍法套装第四件	3	99999	10	0	30	135	135	31	80	80																36	120	39	6									964	965	880	881	981	982	1023	1024	1340	1341	1305	1306	534			509	4	1681	1281	3	10	9600					
[玄金]星霜之破虏束腰	0	6	0	\spr\item\equip\sash\obj-sash79.spr	33	2	1	玄金装备，星霜级丐帮棍法套装第五件	4	99999	10	0	30	160	160	31	80	80																36	120	39	6									964	965	920	921	980	981	1223	1224	1340	1341	1305	1306	534			509	5	1433	1419	3	10	9600					
[玄金]星霜之破虏丐衣	0	2	5	\spr\item\equip\armor\obj-ma-cloth82.spr	22	2	3	玄金装备，星霜级丐帮棍法套装第六件	0	99999	10	0	30	720	720	31	90	90																36	120	39	6									964	965	940	941	980	981	1183	1184	2725	2725	3551	3552	534			509	6	1433	2835	3	10	9600					
[玄金]星霜之破虏杖	0	0	2	\spr\item\equip\closeweapon\obj-spear28.spr	11	1	4	玄金装备，星霜级丐帮棍法套装第七件	2	99999	10	0	28	69	69	29	128	128	167	-30	-30	31	99	99										36	120	39	6									2715	2715	860	861	1083	1084	1023	1024	1325	1326	3551	3552	534			509	7	1433	130	3	10	9600					
[玄金]星霜之破虏靴	0	5	0	\spr\item\equip\boots\obj-shoes82.spr	26	2	2	玄金装备，星霜级丐帮棍法套装第八件	1	99999	10	0	30	160	160	31	80	80																36	120	39	6									964	965	900	901	980	981	1203	1204	1263	1264	1305	1306	534			509	8	1433	1281	3	10	9600					
[玄金]星霜之破虏腰坠	0	9	1	\spr\item\equip\waist\obj-waist36.spr	36	1	2	玄金装备，星霜级丐帮棍法套装第九件	3	99999	10	0																						36	120	39	6									963	964	880	881	981	982	1023	1024	1340	1341	1305	1306	534			509	9	1682	3556	3	10	9600					
[玄金]星霜之破虏灵石扳指	0	3	0	\spr\item\equip\ring\obj-ring35.spr	37	1	1	玄金装备，星霜级丐帮棍法套装第十件	4	99999	10	0																						36	120	39	6									963	964	920	921	981	982	1223	1224	1340	1341	1305	1306	534			509	10	130		3	10	9600					
[玄金]星霜之炼日项圈	0	4	1	\spr\item\equip\nick\obj-neck35.spr	36	2	1	玄金装备，星霜级天忍矛法套装第一件	0	99999	10	0																						36	120	39	7									963	964	940	941	980	981	1183	1184	1003	1004	1305	1306	535			510	1	1684	1281	3	10	9600					
[玄金]星霜之炼日盔	0	7	2	\spr\item\equip\cap\obj-ma-cap83.spr	28	2	2	玄金装备，星霜级天忍矛法套装第二件	2	99999	10	0	30	360	360	31	85	85																36	120	39	7									964	965	860	861	981	982	1023	1024	1340	1341	3556	3557	535			510	2	3556	1281	3	10	9600					
[玄金]星霜之炼日烈焰扳指	0	3	0	\spr\item\equip\ring\obj-ring35.spr	37	1	1	玄金装备，星霜级天忍矛法套装第三件	1	99999	10	0																						36	120	39	7									963	964	900	901	980	981	1203	1204	1340	1341	1305	1306	535			510	3	130		3	10	9600					
[玄金]星霜之炼日护腕	0	8	1	\Spr\item\equip\bangle\obj-bangle41.spr	34	1	2	玄金装备，星霜级天忍矛法套装第四件	3	99999	10	0	30	135	135	31	80	80																36	120	39	7									964	965	880	881	981	982	1023	1024	1340	1341	1305	1306	535			510	4	1685	1281	3	10	9600					
[玄金]星霜之炼日腰带	0	6	1	\spr\item\equip\sash\obj-sash79.spr	33	2	1	玄金装备，星霜级天忍矛法套装第五件	4	99999	10	0	30	160	160	31	80	80																36	120	39	7									964	965	920	921	980	981	1223	1224	1340	1341	1305	1306	535			510	5	1433	1420	3	10	9600					
[玄金]星霜之炼日甲	0	2	16	\spr\item\equip\armor\obj-ma-cloth83.spr	23	2	3	玄金装备，星霜级天忍矛法套装第六件	0	99999	10	0	30	720	720	31	90	90																36	120	39	7									964	965	940	941	980	981	1183	1184	2725	2725	3556	3557	535			510	6	1433	2836	3	10	9600					
[玄金]星霜之炼日枪	0	0	3	\spr\item\equip\closeweapon\obj-staff28.spr	12	1	4	玄金装备，星霜级天忍矛法套装第七件	2	99999	10	0	28	18	18	29	158	158	167	-30	-30	31	99	99										36	120	39	7									2716	2716	860	861	1083	1084	1023	1024	1325	1326	3556	3557	535			510	7	1433	130	3	10	9600					
[玄金]星霜之炼日靴	0	5	0	\spr\item\equip\boots\obj-shoes83.spr	26	2	2	玄金装备，星霜级天忍矛法套装第八件	1	99999	10	0	30	160	160	31	80	80																36	120	39	7									964	965	900	901	980	981	1203	1204	1263	1264	1305	1306	535			510	8	1433	1281	3	10	9600					
